,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
1,67,Dmitrii Liferov,Dana Son,,,,,,8.000,7.850,7.300,8.000,7.850,,,,,,7.300,8.000,8.000,8.000,7.900,7.820
2,466,Ariel Taritolay,Laura Casco Zorzón,,,,,,7.600,7.300,7.300,7.650,7.550,,,,,,7.300,7.700,8.000,7.900,8.000,7.630
3,438,Leonardo Salvador Guerra,Noelia Romina Andino,,,,,,8.000,7.400,7.900,6.800,7.450,,,,,,7.400,7.800,7.500,8.000,7.900,7.615
4,24,Ramiro Nicolas Almiron,Lali Torres,,,,,,7.900,7.550,7.400,7.800,7.600,,,,,,7.450,7.550,7.200,7.550,7.900,7.590
5,8,Erik Deslarmes,Nadia Aguilar,,,,,,7.900,7.300,7.150,8.000,7.400,,,,,,7.850,7.600,7.300,7.600,7.800,7.590
6,487,Juan Pablo Valdebenito,Rosario Belén Gimenez,,,,,,7.950,7.150,7.300,7.300,7.350,,,,,,7.850,7.450,7.500,7.950,7.800,7.560
7,297,Diego Churquina,Paula Pandol,,,,,,7.950,7.500,7.500,7.500,7.400,,,,,,6.850,7.700,7.400,7.850,7.900,7.555
8,208,Juan Fernando Cabral,Laura Castiñeiras,,,,,,7.700,7.150,7.280,7.400,7.500,,,,,,7.500,7.800,7.300,7.950,7.950,7.553
9,89,Leonel Herrera,Magali Tokian,,,,,,7.900,7.300,6.950,7.500,7.500,,,,,,7.700,7.400,7.350,7.950,7.750,7.530
10,253,Franco Lus,Bruna Lavaroni,,,,,,7.950,6.750,7.100,7.700,7.800,,,,,,7.000,7.800,7.400,7.950,7.800,7.525
11,424,Lucas Gauto,Naima Gerasopoulou,8.000,8.000,7.650,6.400,7.100,,,,,,7.800,7.690,7.900,7.700,7.000,,,,,,7.524
12,328,Diego Pichimil,Marina Millalen,,,,,,7.900,7.350,7.700,7.150,7.400,,,,,,6.900,7.600,7.400,7.850,7.950,7.520
13,302,Diego Converti,Graciela Gamba,,,,,,7.700,7.100,7.500,7.500,7.550,,,,,,6.900,7.850,7.500,7.900,7.600,7.510
14,145,Gennysam Alcantara,Li Li Tan,,,,,,7.850,7.400,7.300,7.350,7.500,,,,,,7.300,7.500,7.200,7.800,7.800,7.500
15,394,Julio Saavedra,Jimena Martinez Berruete,,,,,,7.950,7.300,7.300,7.250,7.000,,,,,,7.250,7.700,7.450,7.600,7.900,7.470
16,383,Juan Cupini,Erica Rossi,,,,,,7.500,6.700,7.200,7.500,7.250,,,,,,7.800,7.700,7.400,7.600,8.000,7.465
17,360,Marcelo Torres,Francisca Alarcon Irrazab,a,,,,,7.900,7.000,7.500,7.500,7.700,,,,,,7.100,7.100,7.300,7.800,7.700,7.460
18,132,Gabriel Esteban Salvi,Carolina Leonardelli,,,,,,7.800,7.100,7.300,7.700,7.500,,,,,,7.300,7.300,7.400,7.600,7.600,7.460
19,385,Wonjun Seol,Hyemi Seo,,,,,,7.900,6.700,7.150,8.000,7.200,,,,,,7.350,7.600,7.200,7.750,7.700,7.455
20,351,Valentin Bobkov,Ekaterina Tsybrova,,,,,,7.900,6.500,7.200,7.400,7.600,,,,,,7.600,7.500,7.500,7.750,7.500,7.445
21,585,Juan David Vargas,Ornella Simonetto,7.600,7.550,7.230,6.010,7.200,,,,,,7.900,7.490,7.900,8.000,7.500,,,,,,7.438
22,586,Cristian Rubén Zalazar,Carla Daniela Espinoza,,,,,,7.900,6.800,7.700,7.100,6.900,,,,,,7.350,7.400,7.300,7.950,7.700,7.410
23,56,Miguel García,Sandra Martínez,,,,,,7.850,6.500,7.500,6.950,7.650,,,,,,7.300,7.500,7.250,7.650,7.900,7.405
24,284,Matías Cabezuelo,Nicole Mazza,,,,,,7.950,6.700,6.950,7.400,7.550,,,,,,7.400,7.600,7.300,7.700,7.500,7.405
25,264,Alberto Re,María Susana Eguaburo,,,,,,7.950,7.650,6.950,7.000,7.400,,,,,,8.000,6.150,7.300,7.800,7.800,7.400
26,477,Diego Ortega,Aldana Silveyra,7.500,6.900,7.700,6.200,7.800,,,,,,7.500,7.300,7.800,7.900,7.400,,,,,,7.400
27,538,Artem Dovbush,Daria Pechatnikova,,,,,,7.850,6.900,6.950,7.300,7.300,,,,,,7.000,7.700,7.300,7.900,7.800,7.400
28,127,Leandro Capparelli,Jeannette Erazú,7.500,7.700,7.480,6.390,7.400,,,,,,7.500,7.470,7.650,7.800,7.000,,,,,,7.389
29,95,Gonzalo Angeles,Nathalia Peña Muñoz,,,,,,7.950,6.700,7.200,7.350,7.250,,,,,,7.100,7.250,7.400,7.800,7.800,7.380
30,568,Raul Pardo,Lucía Curín,,,,,,7.950,7.600,7.600,6.900,7.250,,,,,,7.000,7.000,7.150,7.650,7.700,7.380
31,60,Ariel Manzanares,Aldana Belen Figueroa,7.400,7.650,7.200,6.350,7.300,,,,,,7.800,7.480,7.700,7.100,7.800,,,,,,7.378
32,323,Gustavo Fabián Ippolito,Rosana Lujan Porres,,,,,,7.900,7.450,7.700,7.000,7.550,,,,,,6.850,6.700,7.400,7.500,7.700,7.375
33,144,Alejandro Quaglia,Lucia Barrios,,,,,,7.700,6.850,7.300,7.800,7.000,,,,,,7.150,7.500,7.500,7.150,7.800,7.375
34,281,Sebastián Fernandez,Mara Oviedo,7.400,7.200,7.650,5.990,7.480,,,,,,8.000,7.450,7.650,7.700,7.200,,,,,,7.372
35,501,Cristian Correa,Amanda Marques,,,,,,7.300,7.150,7.050,7.300,7.500,,,,,,7.300,7.500,7.500,7.150,7.950,7.370
36,599,Juan Seliman,Natasha Arapé,,,,,,7.600,7.000,7.150,7.000,7.200,,,,,,7.200,7.300,7.400,7.900,7.850,7.360
37,390,Stiwar Calle,Luisa Calle,7.500,7.500,7.250,6.390,7.000,,,,,,7.800,7.470,7.650,7.500,7.500,,,,,,7.356
38,292,Matias Ivan Persico,valentina ramirez,,,,,,7.250,6.700,6.900,7.100,7.350,,,,,,7.100,7.650,7.600,7.900,8.000,7.355
39,257,Alejandro Berón,Kelly Lettieri,,,,,,7.500,6.900,7.280,7.150,7.150,,,,,,7.200,7.600,7.200,7.850,7.700,7.353
40,446,Facundo Berrios Valdez,Simin Ogur,,,,,,7.800,7.250,7.500,7.650,7.150,,,,,,7.200,7.200,7.100,7.650,7.000,7.350
41,484,Jorge Lopez,Sandra Naccache,,,,,,7.900,6.750,6.950,7.100,7.400,,,,,,7.300,7.700,7.500,6.900,8.000,7.350
